Result Number,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
30,LC82240632014138LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140518130555_20140518134430.01,LT8BPF20140518130201_20140518134523.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/18,2014:138:13:29:19.8648320,2014:138:13:29:51.6348280,9,53.85,54.4415505,46.83649468,6.626,5.951,-1,1,Y,LPGS_2.3.0,4°20'20.90"S,50°03'22.75"W,3°17'27.78"S,50°42'36.00"W,3°39'03.67"S,49°01'55.31"W,5°23'36.13"S,49°24'05.54"W,5°01'47.68"S,51°05'00.28"W,-4.33914,-50.05632,-3.29105,-50.71,-3.65102,-49.03203,-5.39337,-49.40154,-5.02991,-51.08341,LC82240632014138LGN00,LC82240632014138LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014138LGN00
31,LC82240632014122LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140502094955_20140502144634.01,LT8BPF20140502130347_20140502144240.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/02,2014:122:13:29:31.0014870,2014:122:13:30:02.7714840,9,83.19,56.8812427,52.79729504,12.173,13.566,-1,1,Y,LPGS_2.3.0,4°20'20.54"S,50°02'29.72"W,3°17'29.80"S,50°41'46.39"W,3°39'00.32"S,49°01'04.26"W,5°23'33.43"S,49°23'08.88"W,5°01'50.38"S,51°04'04.94"W,-4.33904,-50.04159,-3.29161,-50.69622,-3.65009,-49.01785,-5.39262,-49.3858,-5.03066,-51.06804,LC82240632014122LGN00,LC82240632014122LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014122LGN00
32,LC82240632014106LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140416130420_20140416134454.01,LT8BPF20140416120858_20140416134547.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/04/16,2014:106:13:29:44.5604020,2014:106:13:30:16.3303980,9,68.08,59.01849865,61.90023048,6.719,7.599,-1,1,Y,LPGS_2.3.0,4°20'21.23"S,50°01'54.01"W,3°17'30.37"S,50°41'10.79"W,3°39'01.12"S,49°00'28.48"W,5°23'34.15"S,49°22'33.20"W,5°01'50.81"S,51°03'29.52"W,-4.33923,-50.03167,-3.29177,-50.68633,-3.65031,-49.00791,-5.39282,-49.37589,-5.03078,-51.0582,LC82240632014106LGN00,LC82240632014106LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014106LGN00
33,LC82240632014090LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140331130501_20140331135023.01,LT8BPF20140331130107_20140331135116.01,L8CPF20140101_20140331.03,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/03/31,2014:090:13:30:01.9262610,2014:090:13:30:33.6962580,9,74.5,60.26016913,73.6236656,0,0,-1,-1,Y,LPGS_2.3.0,4°20'20.29"S,50°02'25.33"W,3°17'29.40"S,50°41'42.11"W,3°39'00.47"S,49°00'59.40"W,5°23'33.36"S,49°23'04.38"W,5°01'49.73"S,51°04'01.09"W,-4.33897,-50.04037,-3.2915,-50.69503,-3.65013,-49.0165,-5.3926,-49.38455,-5.03048,-51.06697,LC82240632014090LGN00,LC82240632014090LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014090LGN00
34,LC82240632014074LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140315130829_20140315135240.01,LT8BPF20140315130435_20140315135333.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/03/15,2014:074:13:30:18.7126420,2014:074:13:30:50.4826380,9,87.3,60.32583613,86.53618628,0,0,-1,-1,Y,LPGS_2.4.0,4°20'20.29"S,50°03'02.63"W,3°17'29.29"S,50°42'18.61"W,3°39'00.43"S,49°01'37.09"W,5°23'33.50"S,49°23'42.43"W,5°01'49.80"S,51°04'37.99"W,-4.33897,-50.05073,-3.29147,-50.70517,-3.65012,-49.02697,-5.39264,-49.39512,-5.0305,-51.07722,LC82240632014074LGN00,LC82240632014074LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014074LGN00
35,LC82240632014058LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140227121509_20140227135450.01,LT8BPF20140227121602_20140227135543.01,L8CPF20140101_20140331.03,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/02/27,2014:058:13:30:28.9380100,2014:058:13:31:00.7080070,9,60.93,59.41520446,98.91772755,5.754,6.934,-1,1,Y,LPGS_2.3.0,4°20'20.94"S,50°02'16.55"W,3°17'29.62"S,50°41'31.20"W,3°39'00.47"S,49°00'52.13"W,5°23'34.33"S,49°22'57.86"W,5°01'50.88"S,51°03'51.01"W,-4.33915,-50.03793,-3.29156,-50.692,-3.65013,-49.01448,-5.39287,-49.38274,-5.0308,-51.06417,LC82240632014058LGN00,LC82240632014058LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014058LGN00
36,LC82240632014042LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140211130852_20140211135551.01,LT8BPF20140211130458_20140211135644.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/02/11,2014:042:13:30:41.5873320,2014:042:13:31:13.3573280,9,85.85,58.09735213,109.62273069,0,0,-1,-1,Y,LPGS_2.4.0,4°20'21.26"S,50°02'25.33"W,3°17'29.80"S,50°41'39.08"W,3°39'00.68"S,49°01'01.16"W,5°23'34.98"S,49°23'07.30"W,5°01'51.46"S,51°03'59.18"W,-4.33924,-50.04037,-3.29161,-50.69419,-3.65019,-49.01699,-5.39305,-49.38536,-5.03096,-51.06644,LC82240632014042LGN00,LC82240632014042LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014042LGN00
37,LC82240632014010LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140110132844_20140110135900.02,LT8BPF20140110132450_20140110135953.03,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/01/10,2014:010:13:31:03.7844430,2014:010:13:31:35.5544390,9,91.02,56.76074228,124.59358462,0,0,-1,-1,Y,LPGS_2.4.0,4°20'20.72"S,50°02'50.75"W,3°17'29.22"S,50°42'06.73"W,3°39'01.76"S,49°01'24.10"W,5°23'34.33"S,49°23'30.70"W,5°01'49.26"S,51°04'27.23"W,-4.33909,-50.04743,-3.29145,-50.70187,-3.65049,-49.02336,-5.39287,-49.39186,-5.03035,-51.07423,LC82240632014010LGN00,LC82240632014010LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014010LGN00
38,LC82240632013359LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131225132856_20131225145305.02,LT8BPF20131225132502_20131225140005.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/25,2013:359:13:31:15.2820050,2013:359:13:31:47.0520010,9,73.94,57.53681351,128.52407163,23.066,25.851,33,2,Y,LPGS_2.5.1,4°20'21.41"S,50°03'35.46"W,3°17'29.90"S,50°42'52.81"W,3°39'03.24"S,49°02'07.51"W,5°23'34.94"S,49°24'14.04"W,5°01'49.04"S,51°05'13.27"W,-4.33928,-50.05985,-3.29164,-50.71467,-3.6509,-49.03542,-5.39304,-49.4039,-5.03029,-51.08702,LC82240632013359LGN00,LC82240632013359LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013359LGN00
39,LC82240632013343LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131209132905_20131209135922.02,LT8BPF20131209132511_20131209140015.02,L8CPF20131001_20131231.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2013/12/09,2013:343:13:31:24.6656290,2013:343:13:31:56.4356250,9,50.54,59.33598945,129.55251766,0,0,-1,-1,Y,LPGS_2.4.0,4°20'21.34"S,50°04'02.39"W,3°17'30.01"S,50°43'19.45"W,3°39'03.56"S,49°02'34.22"W,5°23'34.98"S,49°24'40.86"W,5°01'48.86"S,51°05'40.13"W,-4.33926,-50.06733,-3.29167,-50.72207,-3.65099,-49.04284,-5.39305,-49.41135,-5.03024,-51.09448,LC82240632013343LGN00,LC82240632013343LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013343LGN00
40,LC82240632013327LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131123132905_20131123135921.01,LT8BPF20131123132511_20131123140014.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2013/11/23,2013:327:13:31:23.9617990,2013:327:13:31:55.7317950,9,13.19,61.83433508,126.95936754,0,0,-1,-1,Y,LPGS_2.4.0,4°20'19.90"S,50°02'09.42"W,3°17'28.25"S,50°41'25.40"W,3°39'01.48"S,49°00'42.26"W,5°23'33.79"S,49°22'49.30"W,5°01'47.93"S,51°03'46.51"W,-4.33886,-50.03595,-3.29118,-50.69039,-3.65041,-49.01174,-5.39272,-49.38036,-5.02998,-51.06292,LC82240632013327LGN00,LC82240632013327LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013327LGN00
41,LC82240632013311LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131107132914_20131107135531.02,LT8BPF20131107132520_20131107135624.02,L8CPF20131001_20131231.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/11/07,2013:311:13:31:33.3486610,2013:311:13:32:05.1186570,9,46.96,64.3632025,119.88347417,9.679,8.275,-1,2,Y,LPGS_2.4.0,4°20'20.72"S,50°03'02.09"W,3°17'28.75"S,50°42'16.42"W,3°39'01.58"S,49°01'36.30"W,5°23'34.80"S,49°23'43.66"W,5°01'49.40"S,51°04'37.85"W,-4.33909,-50.05058,-3.29132,-50.70456,-3.65044,-49.02675,-5.393,-49.39546,-5.03039,-51.07718,LC82240632013311LGN00,LC82240632013311LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013311LGN00
42,LC82240632013295LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131022132917_20131022134710.03,LT8BPF20131022132523_20131022134803.02,L8CPF20131001_20131231.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2013/10/22,2013:295:13:31:36.2625370,2013:295:13:32:08.0325330,9,85.83,66.02729239,108.12255293,0,0,-1,-1,Y,LPGS_2.4.0,4°20'21.01"S,50°02'29.76"W,3°17'28.79"S,50°41'42.65"W,3°39'01.26"S,49°01'05.02"W,5°23'35.34"S,49°23'12.84"W,5°01'50.27"S,51°04'04.44"W,-4.33917,-50.0416,-3.29133,-50.69518,-3.65035,-49.01806,-5.39315,-49.3869,-5.03063,-51.0679,LC82240632013295LGN00,LC82240632013295LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013295LGN00
43,LC82240632013279LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20131006132923_20131006134715.01,LT8BPF20131006132529_20131006134808.01,L8CPF20131001_20131231.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/06,2013:279:13:31:41.8744600,2013:279:13:32:13.6444560,9,35.17,65.99621219,93.37982089,20.242,19.316,-1,2,Y,LPGS_2.4.0,4°20'21.37"S,50°02'51.50"W,3°17'29.18"S,50°42'04.90"W,3°39'02.27"S,49°01'25.90"W,5°23'35.74"S,49°23'33.97"W,5°01'50.12"S,51°04'26.87"W,-4.33927,-50.04764,-3.29144,-50.70136,-3.65063,-49.02386,-5.39326,-49.39277,-5.03059,-51.07413,LC82240632013279LGN00,LC82240632013279LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013279LGN00
44,LC82240632013247LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130904130626_20130904134724.02,LT8BPF20130904130232_20130904134817.02,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/04,2013:247:13:31:50.7572490,2013:247:13:32:22.5272450,9,55.87,60.98918515,67.19565434,6.093,6.103,-1,2,Y,LPGS_2.4.0,4°20'21.48"S,50°03'44.42"W,3°17'29.47"S,50°43'00.62"W,3°39'04.36"S,49°02'15.79"W,5°23'35.63"S,49°24'24.08"W,5°01'48.14"S,51°05'22.81"W,-4.3393,-50.06234,-3.29152,-50.71684,-3.65121,-49.03772,-5.39323,-49.40669,-5.03004,-51.08967,LC82240632013247LGN00,LC82240632013247LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013247LGN00
45,LC82240632013231LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130819130625_20130819134724.01,LT8BPF20130819130231_20130819134817.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2013/08/19,2013:231:13:31:50.1224780,2013:231:13:32:21.8924740,9,86.52,57.50896461,58.28710277,0,0,-1,-1,Y,LPGS_2.3.0,4°20'20.44"S,50°03'15.88"W,3°17'28.36"S,50°42'32.51"W,3°39'03.67"S,49°01'46.96"W,5°23'34.80"S,49°23'55.21"W,5°01'46.92"S,51°04'54.84"W,-4.33901,-50.05441,-3.29121,-50.70903,-3.65102,-49.02971,-5.393,-49.39867,-5.0297,-51.0819,LC82240632013231LGN00,LC82240632013231LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013231LGN00
46,LC82240632013215LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130803132930_20130803134723.01,LT8BPF20130803132536_20130803134816.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/03,2013:215:13:31:49.0635940,2013:215:13:32:20.8335900,9,14.72,54.43226238,51.68814611,5.631,5.84,-1,2,Y,LPGS_2.4.0,4°20'19.90"S,50°02'53.92"W,3°17'27.60"S,50°42'09.22"W,3°39'02.59"S,49°01'25.82"W,5°23'34.44"S,49°23'34.37"W,5°01'46.88"S,51°04'31.87"W,-4.33886,-50.04831,-3.291,-50.70256,-3.65072,-49.02384,-5.3929,-49.39288,-5.02969,-51.07552,LC82240632013215LGN00,LC82240632013215LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013215LGN00
47,LC82240632013199LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130718132927_20130718134720.01,LT8BPF20130718132533_20130718134813.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/18,2013:199:13:31:46.6160980,2013:199:13:32:18.3860940,9,20.1,52.27362947,46.9339114,6.047,5.987,-1,2,Y,LPGS_2.4.0,4°20'20.44"S,50°02'22.02"W,3°17'27.82"S,50°41'35.23"W,3°39'01.98"S,49°00'55.80"W,5°23'35.20"S,49°23'04.67"W,5°01'48.47"S,51°03'58.21"W,-4.33901,-50.03945,-3.29106,-50.69312,-3.65055,-49.0155,-5.39311,-49.38463,-5.03013,-51.06617,LC82240632013199LGN00,LC82240632013199LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013199LGN00
48,LC82240632013183LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130702132928_20130702134233.01,LT8BPF20130702132534_20130702134326.03,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/02,2013:183:13:31:47.0716200,2013:183:13:32:18.8416160,9,65.61,51.32682297,43.85595881,12.401,12.548,23,2,Y,LPGS_2.5.1,4°20'20.51"S,50°02'42.90"W,3°17'27.67"S,50°41'54.82"W,3°39'01.40"S,49°01'17.62"W,5°23'35.41"S,49°23'26.81"W,5°01'49.08"S,51°04'18.08"W,-4.33903,-50.04525,-3.29102,-50.69856,-3.65039,-49.02156,-5.39317,-49.39078,-5.0303,-51.07169,LC82240632013183LGN00,LC82240632013183LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013183LGN00
49,LC82240632013167LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130616132930_20130616134718.02,LT8BPF20130616132537_20130616134810.02,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/06/16,2013:167:13:31:47.2461480,2013:167:13:32:17.0421680,9,6.35,51.64734671,42.59917804,6.377,5.862,-1,2,Y,LPGS_2.4.0,4°20'20.94"S,50°02'52.22"W,3°21'03.13"S,50°42'50.04"W,3°42'36.86"S,49°02'12.48"W,5°20'01.10"S,49°22'50.63"W,4°58'14.88"S,51°03'41.00"W,-4.33915,-50.04784,-3.35087,-50.7139,-3.71024,-49.0368,-5.33364,-49.38073,-4.9708,-51.06139,LC82240632013167LGN00,LC82240632013167LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013167LGN00
50,LC82240632013151LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130531132959_20130531134236.01,LT8BPF20130531132606_20130531134328.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/05/31,2013:151:13:31:52.8628560,2013:151:13:32:22.6588770,9,30.37,53.09158634,43.49334205,6.61,7.22,-1,2,Y,LPGS_2.4.0,4°20'20.54"S,50°04'44.47"W,3°21'02.77"S,50°44'44.45"W,3°42'37.48"S,49°04'02.96"W,5°20'00.53"S,49°24'40.93"W,4°58'13.37"S,51°05'35.20"W,-4.33904,-50.07902,-3.35077,-50.74568,-3.71041,-49.06749,-5.33348,-49.41137,-4.97038,-51.09311,LC82240632013151LGN00,LC82240632013151LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013151LGN00
51,LC82240632013135LGN01, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130515130625_20130515134655.01,LT8BPF20130515130232_20130515134747.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,0,LGN,DAY,L1T,OLI_TIRS,2013/05/15,2013:135:13:31:48.0093840,2013:135:13:32:17.8054050,9,30.52,55.28881263,47.02415207,6.806,6.308,-1,2,Y,LPGS_2.4.0,4°20'20.98"S,50°04'05.63"W,3°21'03.24"S,50°44'07.73"W,3°42'38.92"S,49°03'22.21"W,5°20'00.74"S,49°24'00.04"W,4°58'12.61"S,51°04'58.37"W,-4.33916,-50.06823,-3.3509,-50.73548,-3.71081,-49.05617,-5.33354,-49.40001,-4.97017,-51.08288,LC82240632013135LGN01,LC82240632013135LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013135LGN01
52,LC82240632013103LGN01, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20130413132944_20130413134221.01,LT8BPF20130413132551_20130413134313.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/04/13,2013:103:13:31:37.7896050,2013:103:13:32:07.5856260,9,67.56,59.69573594,63.40373487,9.35,6.577,-1,2,Y,LPGS_2.4.0,4°20'19.86"S,50°03'16.70"W,3°21'01.37"S,50°43'17.69"W,3°42'39.38"S,49°02'32.06"W,5°20'00.64"S,49°23'11.98"W,4°58'10.09"S,51°04'10.60"W,-4.33885,-50.05464,-3.35038,-50.72158,-3.71094,-49.04224,-5.33351,-49.38666,-4.96947,-51.06961,LC82240632013103LGN01,LC82240632013103LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC82240632013103LGN01
